ECO_Code,Name,Moves,Short_Name,Ref_Link
C06,"French, Tarrasch",1 e4 e6 2 d4 d5 3 Nd2 Nf6 4 e5 Nfd7 5 Bd3 c5 6 c3 Nc6 7 Ne2 cxd4 8 cxd4,French Defense: Tarrasch,https://www.chess.com/openings/French-Defense-Tarrasch-Variation
C07,"French, Tarrasch",1 e4 e6 2 d4 d5 3 Nd2 c5,French Defense: Tarrasch,https://www.chess.com/openings/French-Defense-Tarrasch-Variation
C08,"French, Tarrasch, Open, 4.ed ed",1 e4 e6 2 d4 d5 3 Nd2 c5 4 exd5 exd5,French Defense: Tarrasch,https://www.chess.com/openings/French-Defense-Tarrasch-Variation
C09,"French, Tarrasch, Open Variation, Main line",1 e4 e6 2 d4 d5 3 Nd2 c5 4 exd5 exd5 5 Ngf3 Nc6,French Defense: Tarrasch,https://www.chess.com/openings/French-Defense-Tarrasch-Variation
C10,French,1 e4 e6 2 d4 d5 3 Nc3,French Defense,https://www.chess.com/openings/French-Defense
C11,French,1 e4 e6 2 d4 d5 3 Nc3 Nf6,French Defense: Classical,https://www.chess.com/openings/French-Defense-Classical-Variation
C12,"French, McCutcheon",1 e4 e6 2 d4 d5 3 Nc3 Nf6 4 Bg5 Bb4,French Defense: Classical,https://www.chess.com/openings/French-Defense-Classical-Variation
C13,French,1 e4 e6 2 d4 d5 3 Nc3 Nf6 4 Bg5 Be7,French Defense: Classical,https://www.chess.com/openings/French-Defense-Classical-Variation
C14,"French, Classical",1 e4 e6 2 d4 d5 3 Nc3 Nf6 4 Bg5 Be7 5 e5 Nfd7 6 Bxe7 Qxe7,French Defense: Classical,https://www.chess.com/openings/French-Defense-Classical-Variation
C15,"French, Winawer",1 e4 e6 2 d4 d5 3 Nc3 Bb4,French Defense: Winawer,https://www.chess.com/openings/French-Defense-Winawer-Variation
C16,"French, Winawer",1 e4 e6 2 d4 d5 3 Nc3 Bb4 4 e5,French Defense: Winawer,https://www.chess.com/openings/French-Defense-Winawer-Variation
C17,"French, Winawer, Advance",1 e4 e6 2 d4 d5 3 Nc3 Bb4 4 e5 c5,French Defense: Winawer,https://www.chess.com/openings/French-Defense-Winawer-Variation
C18,"French, Winawer",1 e4 e6 2 d4 d5 3 Nc3 Bb4 4 e5 c5 5 a3 Bxc3+ 6 bxc3,French Defense: Winawer,https://www.chess.com/openings/French-Defense-Winawer-Variation
C19,"French, Winawer, Advance",1 e4 e6 2 d4 d5 3 Nc3 Bb4 4 e5 c5 5 a3 Bxc3+ 6 bxc3 Ne7,French Defense: Winawer,https://www.chess.com/openings/French-Defense-Winawer-Variation
C20,King's Pawn Game,1 e4 e5,King's Pawn Game,https://www.chess.com/openings/Kings-Pawn-Opening
C21,Center Game,1 e4 e5 2 d4 exd4,Center Game,https://www.chess.com/openings/Center-Game
C22,Center Game,1 e4 e5 2 d4 exd4 3 Qxd4 Nc6,Center Game,https://www.chess.com/openings/Center-Game
C23,Bishop's Opening,1 e4 e5 2 Bc4,Bishop's Opening,https://www.chess.com/openings/Bishops-Opening
C24,Bishop's Opening,1 e4 e5 2 Bc4 Nf6,Bishop's Opening,https://www.chess.com/openings/Bishops-Opening
C25,Vienna,1 e4 e5 2 Nc3,Vienna Game,https://www.chess.com/openings/Vienna-Game
C26,Vienna,1 e4 e5 2 Nc3 Nf6,Vienna Game,https://www.chess.com/openings/Vienna-Game
C27,Vienna Game,1 e4 e5 2 Nc3 Nf6 3 Bc4 Nxe4,Vienna Game,https://www.chess.com/openings/Vienna-Game
C28,Vienna Game,1 e4 e5 2 Nc3 Nf6 3 Bc4 Nc6,Vienna Game,https://www.chess.com/openings/Vienna-Game
C29,Vienna Gambit,1 e4 e5 2 Nc3 Nf6 3 f4,Vienna Gambit,https://www.chess.com/openings/Vienna-Game-Falkbeer-Vienna-Gambit
C30,King's Gambit Declined,1 e4 e5 2 f4,King's Gambit Declined,https://www.chess.com/openings/Kings-Gambit-Declined-Falkbeer-Countergambit
C31,"King's Gambit Declined, Falkbeer Counter Gambit",1 e4 e5 2 f4 d5,King's Gambit Declined,https://www.chess.com/openings/Kings-Gambit-Declined-Falkbeer-Countergambit
C32,"King's Gambit Declined, Falkbeer Counter Gambit",1 e4 e5 2 f4 d5 3 exd5 e4 4 d3 Nf6,King's Gambit Declined,https://www.chess.com/openings/Kings-Gambit-Declined-Falkbeer-Countergambit
C33,King's Gambit Accepted,1 e4 e5 2 f4 exf4,King's Gambit Accepted,https://www.chess.com/openings/Kings-Gambit-Accepted
C34,King's Gambit Accepted,1 e4 e5 2 f4 exf4 3 Nf3,King's Gambit Accepted,https://www.chess.com/openings/Kings-Gambit-Accepted
C35,"King's Gambit Accepted, Cunningham",1 e4 e5 2 f4 exf4 3 Nf3 Be7,King's Gambit Accepted,https://www.chess.com/openings/Kings-Gambit-Accepted
C36,"King's Gambit Accepted, Abbazia Defense",1 e4 e5 2 f4 exf4 3 Nf3 d5,King's Gambit Accepted,https://www.chess.com/openings/Kings-Gambit-Accepted
C37,King's Gambit Accepted,1 e4 e5 2 f4 exf4 3 Nf3 g5 4 Nc3,King's Gambit Accepted,https://www.chess.com/openings/Kings-Gambit-Accepted
C38,King's Gambit Accepted,1 e4 e5 2 f4 exf4 3 Nf3 g5 4 Bc4 Bg7,King's Gambit Accepted,https://www.chess.com/openings/Kings-Gambit-Accepted
C39,King's Gambit Accepted,1 e4 e5 2 f4 exf4 3 Nf3 g5 4 h4,King's Gambit Accepted,https://www.chess.com/openings/Kings-Gambit-Accepted
C40,King's Knight Opening,1 e4 e5 2 Nf3,King's Knight Opening,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Variation
C41,Philidor Defense,1 e4 e5 2 Nf3 d6,Philidor Defense,https://www.chess.com/openings/Philidor-Defense
C42,Petrov Defense,1 e4 e5 2 Nf3 Nf6,Petrov Defense,https://www.chess.com/openings/Petrovs-Defense
C43,"Petrov, Modern Attack",1 e4 e5 2 Nf3 Nf6 3 d4 exd4 4 e5 Ne4 5 Qxd4,Petrov Defense,https://www.chess.com/openings/Petrovs-Defense
C44,King's Pawn Game,1 e4 e5 2 Nf3 Nc6,King's Pawn Game,https://www.chess.com/openings/Kings-Pawn-Opening
C45,Scotch Game,1 e4 e5 2 Nf3 Nc6 3 d4 exd4 4 Nxd4,Scotch Game,https://www.chess.com/openings/Scotch-Game
C46,Three Knights,1 e4 e5 2 Nf3 Nc6 3 Nc3,Three Knights,https://www.chess.com/openings/Petrovs-Defense-Three-Knights-Game
C47,Four Knights,1 e4 e5 2 Nf3 Nc6 3 Nc3 Nf6,Four Knights,https://www.chess.com/openings/Four-Knights-Game
C48,Four Knights,1 e4 e5 2 Nf3 Nc6 3 Nc3 Nf6 4 Bb5,Four Knights,https://www.chess.com/openings/Four-Knights-Game
C49,Four Knights,1 e4 e5 2 Nf3 Nc6 3 Nc3 Nf6 4 Bb5 Bb4,Four Knights,https://www.chess.com/openings/Four-Knights-Game
C50,Giuoco Piano,1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5,Giuoco Piano,https://www.chess.com/openings/Giuoco-Piano-Game
C51,Evans Gambit,1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5 4 b4,Evans Gambit,https://www.chess.com/openings/Giuoco-Piano-Game-Evans-Gambit
C52,Evans Gambit,1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5 4 b4 Bxb4 5 c3 Ba5,Evans Gambit,https://www.chess.com/openings/Giuoco-Piano-Game-Evans-Gambit
C53,Giuoco Piano,1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5 4 c3,Giuoco Piano,https://www.chess.com/openings/Giuoco-Piano-Game
C54,Giuoco Piano,1 e4 e5 2 Nf3 Nc6 3 Bc4 Bc5 4 c3 Nf6 5 d4 exd4 6 cxd4,Giuoco Piano,https://www.chess.com/openings/Giuoco-Piano-Game
C55,Two Knights Defense,1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6,Two Knights Defense,https://www.chess.com/openings/Italian-Game-Two-Knights-Defense
C56,Two Knights,1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 d4 exd4 5 O-O Nxe4,Two Knights Defense,https://www.chess.com/openings/Italian-Game-Two-Knights-Defense
C57,Two Knights,1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5,Two Knights Defense,https://www.chess.com/openings/Italian-Game-Two-Knights-Defense
C58,Two Knights,1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5,Two Knights Defense,https://www.chess.com/openings/Italian-Game-Two-Knights-Defense
C59,Two Knights,1 e4 e5 2 Nf3 Nc6 3 Bc4 Nf6 4 Ng5 d5 5 exd5 Na5 6 Bb5+ c6 7 dxc6 bxc6 8 Be2 h6,Two Knights Defense,https://www.chess.com/openings/Italian-Game-Two-Knights-Defense
C60,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C61,"Ruy Lopez, Bird's Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 Nd4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C62,"Ruy Lopez, Old Steinitz Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 d6,Ruy Lopez: Old Steinitz Defense,https://www.chess.com/openings/Ruy-Lopez-Opening-Old-Steinitz-Defense
C63,"Ruy Lopez, Schliemann Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 f5,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C64,"Ruy Lopez, Classical",1 e4 e5 2 Nf3 Nc6 3 Bb5 Bc5,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C65,"Ruy Lopez, Berlin Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 Nf6,Ruy Lopez: Berlin,https://www.chess.com/openings/Ruy-Lopez-Opening-Berlin-Defense
C66,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 Nf6 4 O-O d6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C67,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 Nf6 4 O-O Nxe4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C68,"Ruy Lopez, Exchange",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Bxc6,Ruy Lopez: Exchange,https://www.chess.com/openings/Ruy-Lopez-Opening-Morphy-Defense-Exchange-Variation
C69,"Ruy Lopez, Exchange, Gligoric Variation",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Bxc6 dc 5 O-O f6,Ruy Lopez: Exchange,https://www.chess.com/openings/Ruy-Lopez-Opening-Morphy-Defense-Exchange-Variation
C70,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C71,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 d6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C72,"Ruy Lopez, Modern Steinitz Defense, 5.O-O",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 d6 5 O-O,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C73,"Ruy Lopez, Modern Steinitz Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 d6 5 Bxc6+ bxc6 6 d4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C74,"Ruy Lopez, Modern Steinitz Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 d6 5 c3,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C75,"Ruy Lopez, Modern Steinitz Defense",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 d6 5 c3 Bd7,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C76,"Ruy Lopez, Modern Steinitz Defense, Fianchetto Variation",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 d6 5 c3 Bd7 6 d4 g6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C77,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C78,Ruy Lopez,1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C79,"Ruy Lopez, Steinitz Defense Deferred",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O d6,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
C80,"Ruy Lopez, Open",1 e4 e5 2 Nf3 Nc6 3 Bb5 a6 4 Ba4 Nf6 5 O-O Nxe4,Ruy Lopez,https://www.chess.com/openings/Ruy-Lopez-Opening
